,Position_Title,Department,Employee_Annual_Salary
502,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
503,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,57900.0
504,FIREFIGHTER,FIRE,80724.0
505,MOTOR TRUCK DRIVER,AVIATION,70408.0
506,POLICE OFFICER,POLICE,78012.0
507,AVIATION SECURITY OFFICER,AVIATION,57900.0
508,HOISTING ENGINEER,WATER MGMNT,95888.0
509,POLICE OFFICER,POLICE,78012.0
510,AUDITOR I,FINANCE,76524.0
511,POLICE OFFICER,POLICE,83706.0
512,CLERK IV,FINANCE,57828.0
513,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
514,ADMINISTRATIVE ASST III,OEMC,63456.0
515,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,80916.0
516,POLICE OFFICER,POLICE,78012.0
517,POLICE OFFICER,POLICE,80724.0
518,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
519,PAYROLL ADMINISTRATOR,FINANCE,93024.0
520,POLICE OFFICER,POLICE,65016.0
521,LIEUTENANT,FIRE,102978.0
522,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
523,POLICE OFFICER,POLICE,78012.0
524,POLICE OFFICER,POLICE,78012.0
525,POLICE OFFICER,POLICE,68382.0
526,ASST MANAGING EDITOR COUNCIL JOURNAL,CITY CLERK,59796.0
527,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,87918.0
528,STUDENT INTERN - CITY CLERK,CITY CLERK,9880.0
529,FIREFIGHTER,FIRE,50490.0
530,POLICE OFFICER,POLICE,78012.0
531,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
532,FIREFIGHTER,FIRE,50490.0
533,DIR OF LIBRARY - PROGRAMS AND EXHIBITS,PUBLIC LIBRARY,105048.0
534,SERGEANT,POLICE,105864.0
535,PAINTER,WATER MGMNT,84760.0
536,COORDINATING PLANNER,TRANSPORTN,92064.0
537,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
538,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
539,CUSTODIAL WORKER,AVIATION,41537.6
540,POLICE OFFICER,POLICE,75372.0
541,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
542,COORD OF SPECIAL PROJECTS,BUSINESS AFFAIRS,84780.0
543,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,105024.0
544,CONSTRUCTION LABORER,WATER MGMNT,76960.0
545,ADMINISTRATIVE ASST II,LAW,52740.0
546,LAW CLERK,LAW,25152.4
547,STAFF ASST,FAMILY & SUPPORT,64548.0
548,POLICE OFFICER,POLICE,78012.0
549,POLICE OFFICER,POLICE,75372.0
550,POLICE OFFICER,POLICE,75372.0
551,POLICE OFFICER,POLICE,61530.0
552,CIVIL ENGINEER IV,TRANSPORTN,99648.0
553,BATTALION CHIEF - EMT,FIRE,128886.0
554,BATTALION CHIEF,FIRE,126402.0
555,POLICE OFFICER,POLICE,83706.0
556,POLICE OFFICER,POLICE,75372.0
557,ENGINEERING TECHNICIAN IV,TRANSPORTN,66024.0
558,CAULKER,WATER MGMNT,95784.0
559,MOTOR TRUCK DRIVER,GENERAL SERVICES,70408.0
560,POLICE OFFICER,POLICE,80724.0
561,PERSONNEL ASSISTANT,POLICE,60600.0
562,POLICE OFFICER,POLICE,75372.0
563,POLICE OFFICER,POLICE,78012.0
564,SANITATION LABORER,STREETS & SAN,70969.6
565,SANITATION LABORER,STREETS & SAN,75129.6
566,SANITATION LABORER,STREETS & SAN,70969.6
567,POLICE OFFICER,POLICE,78012.0
568,POLICE OFFICER,POLICE,80724.0
569,POLICE OFFICER / FLD TRNG OFFICER,POLICE,79170.0
570,FIREFIGHTER,FIRE,87324.0
571,POLICE OFFICER,POLICE,75372.0
572,FIREFIGHTER,FIRE,87324.0
573,LINEMAN,OEMC,93288.0
574,CROSSING GUARD,POLICE,16525.6
575,PARKING INVESTIGATOR,FINANCE,70380.0
576,ASST CORPORATION COUNSEL,LAW,66960.0
577,SERGEANT,POLICE,102564.0
578,POLICE OFFICER,POLICE,75372.0
579,WEB AUTHOR,CITY CLERK,63516.0
580,PARAMEDIC,FIRE,83982.0
581,POLICE OFFICER,POLICE,43104.0
582,POLICE OFFICER,POLICE,65016.0
583,ENGINEERING TECHNICIAN IV,TRANSPORTN,49788.0
584,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
585,POLICE OFFICER,POLICE,71748.0
586,POLICE OFFICER,POLICE,43104.0
587,SERGEANT,POLICE,99444.0
588,POOL MOTOR TRUCK DRIVER,STREETS & SAN,63377.6
589,POLICE OFFICER,POLICE,75372.0
590,POLICE OFFICER,POLICE,78012.0
591,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
592,LIEUTENANT-EMT,FIRE,101484.0
593,SANITATION LABORER,STREETS & SAN,70969.6
594,POLICE OFFICER,POLICE,86130.0
595,POLICE OFFICER,POLICE,65016.0
596,POLICE OFFICER,POLICE,65016.0
597,CUSTODIAL WORKER,AVIATION,41537.6
598,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
599,CHIEF CONTRACT EXPEDITER,WATER MGMNT,88812.0
600,DATA ENTRY OPERATOR,AVIATION,41784.0
601,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
602,CROSSING GUARD,POLICE,20872.8
603,SERGEANT,POLICE,109278.0
604,POLICE OFFICER,POLICE,71748.0
605,SANITATION LABORER,STREETS & SAN,70969.6
606,SERGEANT,POLICE,99444.0
607,SERGEANT,POLICE,105864.0
608,POLICE OFFICER,POLICE,75372.0
609,PARAMEDIC FIELD CHIEF,FIRE,122748.0
610,LIBRARY CLERK,PUBLIC LIBRARY,41784.0
611,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,82416.0
612,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
613,SANITATION LABORER,STREETS & SAN,70969.6
614,POLICE OFFICER,POLICE,86130.0
615,ASST TO THE COMMISSIONER,PROCUREMENT,59004.0
616,SERGEANT,POLICE,109278.0
617,MOTOR TRUCK DRIVER,GENERAL SERVICES,70408.0
618,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
619,POLICE OFFICER,POLICE,80724.0
620,PUBLIC HEALTH ADMINISTRATOR II,HEALTH,72936.0
621,DIR OF FACILITIES MANAGEMENT,POLICE,105828.0
622,POLICE OFFICER,POLICE,80724.0
623,LEGISLATIVE AIDE,CITY COUNCIL,12480.0
624,PERSONAL COMPUTER OPERATOR II,WATER MGMNT,55212.0
625,MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
626,POLICE OFFICER,POLICE,80724.0
627,LIEUTENANT,POLICE,122718.0
628,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
629,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
630,POLICE OFFICER,POLICE,75372.0
631,FIREFIGHTER-EMT,FIRE,79140.0
632,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
633,DIR OF INFORMATION SYSTEMS,DoIT,113208.0
634,DIRECTOR OF FINANCE,OEMC,92064.0
635,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,97332.0
636,FIREFIGHTER-EMT,FIRE,79140.0
637,BOOTER - PARKING,FINANCE,63440.0
638,ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,95688.0
639,DEPUTY MANAGING EDITOR COUNCIL JOURNAL,CITY CLERK,102060.0
640,POLICE OFFICER,POLICE,80724.0
641,POLICE OFFICER,POLICE,75372.0
642,POLICE OFFICER,POLICE,78012.0
643,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
644,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
645,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,93930.0
646,ASST CORPORATION COUNSEL SUPVSR,LAW,118164.0
647,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
648,SUPERVISING INVESTIGATOR - IPRA,IPRA,92988.0
649,POLICE OFFICER,POLICE,80724.0
650,POLICE OFFICER,POLICE,78012.0
651,POLICE OFFICER,POLICE,83706.0
652,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,82416.0
653,PARKING ENFORCEMENT AIDE,FINANCE,52764.0
654,PARKING INVESTIGATOR,FINANCE,63276.0
655,POLICE OFFICER,POLICE,80724.0
656,DETENTION AIDE,POLICE,60648.0
657,CLERK III,HEALTH,50280.0
658,POLICE OFFICER,POLICE,61530.0
659,FOREMAN OF HOISTING ENGINEERS,GENERAL SERVICES,104208.0
660,PROJECTS ADMINISTRATOR,TRANSPORTN,94260.0
661,POLICE OFFICER,POLICE,75372.0
662,INVESTIGATOR - IPRA III,IPRA,100944.0
663,FIREFIGHTER,FIRE,50490.0
664,TREE TRIMMER,STREETS & SAN,73008.0
665,FILTRATION ENGINEER III,WATER MGMNT,91224.0
666,POLICE OFFICER,POLICE,43104.0
667,AIRPORT OPERATIONS SUPVSR II,AVIATION,75108.0
668,POLICE OFFICER,POLICE,61530.0
669,POLICE OFFICER,POLICE,75372.0
670,SERGEANT,POLICE,102564.0
671,FIRE COMMUNICATIONS OPERATOR I,OEMC,64384.08
672,POLICE OFFICER,POLICE,65016.0
673,WATER CHEMIST II,WATER MGMNT,76524.0
674,POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE,84756.0
675,POLICE OFFICER,POLICE,75372.0
676,POLICE OFFICER,POLICE,78012.0
677,SERGEANT,POLICE,105864.0
678,LIBRARY DIVISION CHIEF,PUBLIC LIBRARY,98712.0
679,FIRE ENGINEER-EMT,FIRE,88632.0
680,FIRE ENGINEER,FIRE,87372.0
681,LIEUTENANT,POLICE,122718.0
682,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
683,SANITATION LABORER,STREETS & SAN,70969.6
684,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
685,ASST DISTRICT SUPERINTENDENT,WATER MGMNT,102024.0
686,POLICE OFFICER,POLICE,61530.0
687,FIREFIGHTER,FIRE,87324.0
688,POLICE OFFICER,POLICE,83706.0
689,HEAD LIBRARY CLERK,PUBLIC LIBRARY,60600.0
690,POLICE OFFICER,POLICE,78012.0
691,POLICE OFFICER,POLICE,78012.0
692,POLICE OFFICER,POLICE,65016.0
693,MANAGER OF VEHICLE MAINTENANCE,GENERAL SERVICES,88812.0
694,ACCOUNTANT III,FAMILY & SUPPORT,75768.0
695,PROJECTS ADMINISTRATOR,BUILDINGS,90252.0
696,POLICE OFFICER,POLICE,75372.0
697,CHIEF PROGRAMMER/ANALYST,DoIT,112332.0
698,POLICE OFFICER,POLICE,78012.0
699,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
700,POLICE OFFICER,POLICE,80724.0
701,CROSSING GUARD,POLICE,19000.8
702,FOREMAN OF WATER PIPE CONSTRUCTION,WATER MGMNT,99944.0
703,FIREFIGHTER-EMT,FIRE,81906.0
704,SR PROCUREMENT SPECIALIST,PROCUREMENT,84780.0
705,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
706,POLICE OFFICER,POLICE,78012.0
707,LIBRARIAN I,PUBLIC LIBRARY,69300.0
708,POLICE OFFICER,POLICE,75372.0
709,FIREFIGHTER-EMT,FIRE,81906.0
710,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,73752.0
711,LAW CLERK,LAW,25152.4
712,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
713,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
714,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
715,POLICE OFFICER,POLICE,86130.0
716,POLICE OFFICER,POLICE,86130.0
717,SUPPORT SERVICES COORD,FAMILY & SUPPORT,59976.0
718,FIREFIGHTER,FIRE,75372.0
719,LEGISLATIVE AIDE,CITY COUNCIL,45864.0
720,FIREFIGHTER,FIRE,78012.0
721,LIEUTENANT,POLICE,122718.0
722,CONSTRUCTION LABORER,WATER MGMNT,76960.0
723,FIREFIGHTER/PARAMEDIC,FIRE,90270.0
724,CAPTAIN,POLICE,125790.0
725,POLICE OFFICER,POLICE,80724.0
726,FIRE ENGINEER,FIRE,93192.0
727,PAINTER,AVIATION,84760.0
728,SENIOR BUSINESS CONSULTANT,BUSINESS AFFAIRS,63516.0
729,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
730,CONCRETE LABORER,TRANSPORTN,76960.0
731,ADMIN ASST II - LABORERS,TRANSPORTN,54876.0
732,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
733,POLICE OFFICER (ASSIGNED AS CANINE HANDLER),POLICE,87918.0
734,ELECTRICAL MECHANIC,TRANSPORTN,89440.0
735,POLICE OFFICER,POLICE,80724.0
736,SERGEANT,POLICE,99444.0
737,POLICE OFFICER,POLICE,61530.0
738,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
739,GENERAL LABORER - AVIATION,AVIATION,40788.8
740,POLICE OFFICER,POLICE,86130.0
741,FIREFIGHTER,FIRE,75372.0
742,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
743,ADMINISTRATIVE ASST II,HEALTH,57828.0
744,PROJECT COORD,FAMILY & SUPPORT,70380.0
745,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
746,AVIATION SECURITY OFFICER - HOURLY,AVIATION,21902.4
747,POLICE AGENT,POLICE,84756.0
748,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
749,FIREFIGHTER,FIRE,87324.0
750,SANITATION LABORER,STREETS & SAN,63876.8
751,LIBRARIAN II,PUBLIC LIBRARY,76524.0
752,POLICE OFFICER,POLICE,78012.0
753,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
754,SANITATION LABORER,STREETS & SAN,70969.6
755,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,63516.0
756,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
757,POLICE OFFICER,POLICE,80724.0
758,EMERGENCY CREW DISPATCHER,WATER MGMNT,76960.0
759,AVIATION SECURITY OFFICER,AVIATION,66552.0
760,SANITATION LABORER,STREETS & SAN,70969.6
761,AMBULANCE COMMANDER,FIRE,112206.0
762,POLICE OFFICER,POLICE,80724.0
763,POLICE OFFICER,POLICE,83706.0
764,POLICE OFFICER,POLICE,78012.0
765,CROSSING GUARD,POLICE,18148.0
766,CROSSING GUARD,POLICE,21912.8
767,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
768,COMMISSIONER OF AVIATION,AVIATION,186576.0
769,FIREFIGHTER-EMT,FIRE,81906.0
770,POLICE OFFICER,POLICE,78012.0
771,CHIEF ADMINISTRATOR,IPRA,161856.0
772,POLICE OFFICER,POLICE,75372.0
773,POLICE OFFICER,POLICE,83706.0
774,FIRE ENGINEER,FIRE,90540.0
775,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
776,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
777,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
778,POLICE OFFICER,POLICE,80724.0
779,SERGEANT,POLICE,105864.0
780,POLICE OFFICER,POLICE,65016.0
781,BUSINESS CONSULTANT,BUSINESS AFFAIRS,59796.0
782,POLICE OFFICER,POLICE,83706.0
783,SANITATION LABORER,STREETS & SAN,70969.6
784,DEPUTY CHIEF,POLICE,162012.0
785,POLICE OFFICER,POLICE,65016.0
786,NURSE PRACTITIONER,HEALTH,117168.0
787,LIEUTENANT,POLICE,122718.0
788,POLICE OFFICER,POLICE,71748.0
789,SERGEANT,POLICE,109278.0
790,LOAD DISPATCHER,TRANSPORTN,93288.0
791,CONSTRUCTION LABORER,WATER MGMNT,76960.0
792,LIBRARY PAGE,PUBLIC LIBRARY,11627.2
793,POLICE OFFICER,POLICE,80724.0
794,ASPHALT FOREMAN,TRANSPORTN,78832.0
795,POLICE OFFICER,POLICE,75372.0
796,PROJECT MANAGER,GENERAL SERVICES,106884.0
797,POLICE OFFICER,POLICE,75372.0
798,LIEUTENANT,POLICE,122718.0
799,POLICE OFFICER,POLICE,78012.0
800,POLICE OFFICER,POLICE,80724.0
801,LIEUTENANT-EMT,FIRE,101484.0
802,FIREFIGHTER,FIRE,78012.0
803,COMMANDER,POLICE,154932.0
804,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
805,CLERK III,HUMAN RESOURCES,36264.0
806,ASST CORPORATION COUNSEL SUPVSR,LAW,92676.0
807,PAINTER,TRANSPORTN,84760.0
808,FIRE ENGINEER-EMT,FIRE,97836.0
809,POLICE OFFICER,POLICE,75372.0
810,POLICE OFFICER,POLICE,80724.0
811,INFORMATION SERVICES COORD,POLICE,80916.0
812,BRIDGE OPERATOR,TRANSPORTN,49500.0
813,HOISTING ENGINEER,WATER MGMNT,95888.0
814,GENERAL LABORER - DSS,STREETS & SAN,41849.6
815,POLICE OFFICER,POLICE,86130.0
816,POLICE OFFICER,POLICE,80724.0
817,LIEUTENANT,FIRE,96648.0
818,POLICE OFFICER,POLICE,80724.0
819,SANITATION LABORER,STREETS & SAN,70969.6
820,TRAFFIC ENGINEER V,TRANSPORTN,100620.0
821,FIREFIGHTER,FIRE,80724.0
822,BATTALION CHIEF - EMT,FIRE,132720.0
823,POLICE OFFICER,POLICE,78012.0
824,POLICE OFFICER,POLICE,83706.0
825,PARKING ENFORCEMENT AIDE,FINANCE,48060.0
826,POLICE OFFICER,POLICE,83706.0
827,FIREFIGHTER-EMT,FIRE,79140.0
828,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
829,ASSOC CLASSIFICATION & COMP ANALYST,HUMAN RESOURCES,56592.0
830,POLICE OFFICER,POLICE,71748.0
831,POLICE OFFICER,POLICE,83706.0
832,SERGEANT,POLICE,105864.0
833,COORD OF AIR MASK SERVICES,FIRE,150264.0
834,CLERK IV,PROCUREMENT,57828.0
835,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
836,MOTOR TRUCK DRIVER,AVIATION,70408.0
837,POLICE OFFICER,POLICE,75372.0
838,GENERAL MANAGER OF AIRPORT OPERATIONS,AVIATION,109032.0
839,POLICE OFFICER,POLICE,86130.0
840,PARAMEDIC I/C,FIRE,81672.0
841,POLICE OFFICER,POLICE,75372.0
842,FIREFIGHTER-EMT,FIRE,79140.0
843,ENVIRONMENTAL INVESTIGATOR,HEALTH,69648.0
844,FIREFIGHTER,FIRE,75372.0
845,POLICE OFFICER,POLICE,78012.0
846,FOREMAN OF LINEMEN,TRANSPORTN,103688.0
847,SUPERVISING PARALEGAL,LAW,80916.0
848,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
849,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
850,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,90738.0
851,PARAMEDIC,FIRE,78012.0
852,POLICE OFFICER,POLICE,78012.0
853,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,87228.0
854,AVIATION SECURITY OFFICER - HOURLY,AVIATION,21902.4
855,POLICE OFFICER,POLICE,75372.0
856,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,55656.0
857,GLAZIER,GENERAL SERVICES,83200.0
858,POLICE OFFICER,POLICE,65016.0
859,MOTOR TRUCK DRIVER,AVIATION,70408.0
860,REVENUE INVESTIGATOR II,BUSINESS AFFAIRS,83832.0
861,ASST CHIEF OPERATING ENGINEER,AVIATION,105892.8
862,OPERATING ENGINEER-GROUP A,AVIATION,96262.4
863,POLICE OFFICER,POLICE,75372.0
864,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
865,STUDENT INTERN,FINANCE,15470.0
866,CLERK II,FAMILY & SUPPORT,32784.0
867,POOL MOTOR TRUCK DRIVER,STREETS & SAN,63377.6
868,TIMEKEEPER - CPD,POLICE,60600.0
869,DETENTION AIDE,POLICE,55248.0
870,STORES LABORER,GENERAL SERVICES,76960.0
871,SANITATION LABORER,STREETS & SAN,70969.6
872,SIGN PAINTER,AVIATION,73403.2
873,PROJECTS ADMINISTRATOR,GENERAL SERVICES,87600.0
874,DIVISION SUPERINTENDENT,STREETS & SAN,119112.0
875,POLICE OFFICER,POLICE,68382.0
876,PARAMEDIC,FIRE,65016.0
877,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
878,SANITATION LABORER,STREETS & SAN,70969.6
879,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
880,POLICE OFFICER,POLICE,61530.0
881,FIREFIGHTER,FIRE,80724.0
882,AVIATION SECURITY OFFICER,AVIATION,57900.0
883,POLICE OFFICER,POLICE,61530.0
884,POLICE COMMUNICATIONS OPERATOR I,OEMC,63552.0
885,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,87918.0
886,SUPVSR OF PERSONNEL SERVICES,DoIT,80916.0
887,PARKING ENFORCEMENT AIDE,FINANCE,48060.0
888,FIREFIGHTER-EMT,FIRE,81906.0
889,CONSTRUCTION LABORER,WATER MGMNT,76960.0
890,POLICE OFFICER,POLICE,65016.0
891,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,90540.0
892,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
893,POLICE OFFICER,POLICE,75372.0
894,ADMINISTRATIVE ASST III,WATER MGMNT,63456.0
895,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
896,POLICE OFFICER,POLICE,65016.0
897,POLICE OFFICER,POLICE,75372.0
898,ASST TO THE COMMISSIONER,HUMAN RELATIONS,63516.0
899,POLICE OFFICER,POLICE,61530.0
900,POLICE OFFICER,POLICE,61530.0
901,HOISTING ENGINEER,WATER MGMNT,95888.0
902,POLICE OFFICER,POLICE,80724.0
903,SANITATION CLERK,STREETS & SAN,57444.0
904,AUTOMOTIVE PAINTER,GENERAL SERVICES,84760.0
905,POLICE OFFICER,POLICE,80724.0
906,POLICE OFFICER,POLICE,78012.0
907,POLICE OFFICER,POLICE,75372.0
908,ACCOUNTANT II,FINANCE,76524.0
909,INVESTIGATOR III - IG,INSPECTOR GEN,79464.0
910,POLICE OFFICER,POLICE,71748.0
911,POLICE OFFICER,POLICE,78012.0
912,CONSTRUCTION LABORER,WATER MGMNT,76960.0
913,ALDERMAN,CITY COUNCIL,109993.92
914,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
915,SANITATION LABORER,STREETS & SAN,70969.6
916,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,48048.0
917,POLICE OFFICER,POLICE,80724.0
918,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
919,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
920,FIREFIGHTER-EMT,FIRE,81906.0
921,LIBRARIAN IV,PUBLIC LIBRARY,86532.0
922,CROSSING GUARD,POLICE,18148.0
923,SANITATION LABORER,STREETS & SAN,70969.6
924,POLICE OFFICER,POLICE,61530.0
925,ADMINISTRATIVE ASST II,PUBLIC LIBRARY,52740.0
926,COMMANDER,POLICE,154932.0
927,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,52980.0
928,SERGEANT,POLICE,109278.0
929,PROGRAM ANALYST,POLICE,87864.0
930,POLICE OFFICER,POLICE,78012.0
931,ASST CORPORATION COUNSEL,LAW,61980.0
932,POLICE OFFICER,POLICE,75372.0
933,POLICE OFFICER,POLICE,43104.0
934,POLICE OFFICER,POLICE,61530.0
935,POLICE OFFICER,POLICE,78012.0
936,FIREFIGHTER,FIRE,50490.0
937,ADMINISTRATIVE SERVICES OFFICER II,DISABILITIES,88812.0
938,ASST TO THE COMMISSIONER,CULTURAL AFFAIRS,80916.0
939,FIREFIGHTER-EMT,FIRE,79140.0
940,POLICE OFFICER,POLICE,75372.0
941,FIREFIGHTER,FIRE,75372.0
942,POLICE OFFICER,POLICE,75372.0
943,AIRPORT OPERATIONS SUPVSR II,AVIATION,83220.0
944,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,90540.0
945,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
946,CROSSING GUARD,POLICE,16525.6
947,ELDER PROTECTIVE INVESTIGATOR I,FAMILY & SUPPORT,69300.0
948,TREE TRIMMER,STREETS & SAN,73008.0
949,BRICKLAYER,TRANSPORTN,86486.4
950,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
951,PARKING ENFORCEMENT AIDE,FINANCE,43800.0
952,POLICE OFFICER,POLICE,86130.0
953,CLERK II,AVIATION,41784.0
954,POLICE OFFICER,POLICE,75372.0
955,POLICE OFFICER,POLICE,78012.0
956,POLICE OFFICER,POLICE,86130.0
957,FOREMAN OF LINEMEN,TRANSPORTN,103688.0
958,POLICE OFFICER,POLICE,83706.0
959,SANITATION LABORER,STREETS & SAN,70969.6
960,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
961,POLICE OFFICER,POLICE,78012.0
962,PRINCIPAL PROGRAMMER/ANALYST,FIRE,97728.0
963,LIBRARY CLERK,PUBLIC LIBRARY,45828.0
964,CARPENTER,GENERAL SERVICES,88441.6
965,CROSSING GUARD,POLICE,18148.0
966,DATA ENTRY OPERATOR,AVIATION,45828.0
967,PERSONAL COMPUTER OPERATOR III,PROCUREMENT,63456.0
968,POLICE COMMUNICATIONS OPERATOR II,OEMC,69708.0
969,LIEUTENANT-EMT,FIRE,101484.0
970,CROSSING GUARD,POLICE,17316.0
971,PAINTER,STREETS & SAN,84760.0
972,FIREFIGHTER,FIRE,80724.0
973,POLICE OFFICER,POLICE,80724.0
974,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
975,BATTALION CHIEF - EMT,FIRE,132720.0
976,FOREMAN OF ELECTRICAL MECHANICS,OEMC,95680.0
977,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
978,CONSTRUCTION LABORER,WATER MGMNT,76960.0
979,FIRE ENGINEER,FIRE,87372.0
980,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
981,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
982,POLICE OFFICER,POLICE,80724.0
983,ACCOUNTING TECHNICIAN I,FINANCE,63456.0
984,CLERK IV,FINANCE,52740.0
985,FOREMAN OF LINEMEN,OEMC,103688.04
986,POLICE OFFICER,POLICE,80724.0
987,SANITATION LABORER,STREETS & SAN,70969.6
988,FIREFIGHTER-EMT,FIRE,84762.0
989,HEAD LIBRARY CLERK,PUBLIC LIBRARY,57828.0
990,SANITATION LABORER,STREETS & SAN,70969.6
991,FIREFIGHTER-EMT,FIRE,79140.0
992,LIEUTENANT-EMT,FIRE,108132.0
993,POLICE OFFICER,POLICE,61530.0
994,POLICE OFFICER,POLICE,43104.0
995,LIBRARIAN II,PUBLIC LIBRARY,76524.0
996,STAFF ASST,FIRE,53052.0
997,CUSTODIAL WORKER,AVIATION,30056.0
998,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,100182.0
999,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
1000,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
1001,FIREFIGHTER-EMT,FIRE,79140.0
1002,POLICE OFFICER,POLICE,71748.0
1003,AIRPORT OPERATIONS SUPVSR II,AVIATION,105024.0
1004,POLICE OFFICER,POLICE,80724.0
1005,SENIOR PERSONNEL ASSISTANT,PUBLIC LIBRARY,66492.0
1006,POLICE OFFICER,POLICE,78012.0
1007,POLICE OFFICER,POLICE,83706.0
1008,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
1009,POLICE OFFICER,POLICE,75372.0
1010,SUPPORT SERVICES COORD,FAMILY & SUPPORT,66492.0
